código de la entrevista,cantidad de personas entrevistadas,Macroterritorio donde se realiza la entrevista,Territorio donde se realiza la entrevista,Mes de la entrevista,Departamento donde se realiza la entrevista,Municipio donde se realiza la entrevista,"Hechos, año de inicio","Hecho, año de finalización",Sector con el que se puede identificar las víctimas del relato,Tipo de entrevista,Entrevista transcrita?,Entrevista etiquetada?,De interés para: Esclarecimiento,De interés para: Reconocimiento,De interés para: Convivencia,De interés para: No Repetición,De interés para: Enfoque de género,De interés para: Psicosocial,De interés para: Curso de Vida,De interés para: Dirección de investigación,De interés para: Territorios,De interés para: Dirección étnica,De interés para: Comisionados,De interés para: Estrategia - Arte,De interés para: Estrategia - Comunicación,De interés para: Estrategia - Participación,De interés para: Estrategia - Pedagogía,De interés para: Grupo de Acceso a la información,De interés para: Presidencia,De interés para: Otros,De interés para: Enlace interinstitucional,De interés para: SIM,De interés para el área: Pueblos Étnicos,De interés para el área: Diálogo social,De interés para el área: Género,De interés para el área: Enfoque psico social,De interés para el área: Curso de Vida,De interés para el área: Núcleo 1,De interés para el área: Núcleo 2,De interés para el área: Núcleo 3,De interés para el área: Núcleo 4,De interés para el área: Núcleo 5,De interés para el área: Núcleo 6,De interés para el área: Núcleo 7,De interés para el área: Núcleo 8,De interés para el área: Núcleo 9,De interés para el área: Núcleo 10,Coincide con el mandato 01,Coincide con el mandato 02,Coincide con el mandato 03,Coincide con el mandato 04,Coincide con el mandato 05,Coincide con el mandato 06,Coincide con el mandato 07,Coincide con el mandato 08,Coincide con el mandato 09,Coincide con el mandato 10,Coincide con el mandato 11,Coincide con el mandato 12,Coincide con el mandato 13,Transcripción Anomizada?,url transcipción anonimizada
089-AA-00001,1,Caribe e Insular,Valledupar,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,1991,2016,Ex combatientes ,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/089-AA-00001
089-AA-00002,1,Caribe e Insular,Valledupar,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,1997,2016,Ex combatientes ,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/089-AA-00002
089-AA-00003,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,FONSECA,1988,2016,Ex combatientes ,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/089-AA-00003
266-AA-00004,1,Orinoquia,Florencia,2019-08,CAQUETÁ,FLORENCIA,1984,1984,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
308-AA-00002,1,Orinoquia,San José del Guaviare,2019-09,GUAVIARE,EL RETORNO,2001,2007,Niñez y adolescencia,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/308-AA-00002
176-AA-00001,1,Nororiente,Macroterritorial Nororiente,2019-09,CASANARE,LA SALINA,2001,2007,Comerciantes,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
308-AA-00003,1,Orinoquia,San José del Guaviare,2019-09,GUAVIARE,CALAMAR,2015,2019,Niñez y adolescencia,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
140-AA-00001,1,Centroandina,Neiva,2019-07,HUILA,NEIVA,1971,2016,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
402-AA-00001,1,Caribe e Insular,Barranquilla,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,2019,2019,Otros,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/402-AA-00001
252-AA-00001,1,Magdalena Medio,Macroterritorial Magdalena Medio,2019-09,SANTANDER,BUCARAMANGA,2019,2019,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
252-AA-00002,1,Magdalena Medio,Macroterritorial Magdalena Medio,2019-10,SANTANDER,BUCARAMANGA,2019,2019,Líderes sociales,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,,
252-AA-00003,1,Magdalena Medio,Macroterritorial Magdalena Medio,2019-08,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,,
060-AA-00001,1,Surandina,Puerto Asís,2019-10,PUTUMAYO,PUERTO ASÍS,1999,2002,"Afrocolombianos, negros, raizal, palenquero",AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,
252-AA-00004,1,Magdalena Medio,Barrancabermeja,2019-09,ANTIOQUIA,YONDÓ,2019,2019,Campesinos,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,,
414-AA-00001,1,Caribe e Insular,Barranquilla,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,1998,1998,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/414-AA-00001
414-AA-00002,1,Caribe e Insular,Barranquilla,2019-08,LA GUAJIRA,FONSECA,1981,1981,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/414-AA-00002
221-AA-00001,1,Surandina,Pasto,2019-07,NARIÑO,COLÓN,2002,2002,Integrantes de comunidad,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,,
402-AA-00002,1,Caribe e Insular,Barranquilla,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
402-AA-00003,1,Caribe e Insular,Barranquilla,2019-10,CESAR,MANAURE BALCÓN DEL CESAR,2019,2019,Campesinos,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
238-AA-00005,1,Caribe e Insular,Valledupar,2019-09,CESAR,VALLEDUPAR,1985,2008,Ex combatientes ,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,
252-AA-00005,1,Magdalena Medio,Macroterritorial Magdalena Medio,2019-10,SANTANDER,BARRANCABERMEJA,2019,2019,Otros,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,,
252-AA-00006,1,Magdalena Medio,Barrancabermeja,2019-08,SANTANDER,EL CARMEN DE CHUCURÍ,2019,2019,Campesinos,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,Si,http://archivo.comisiondelaverdad.co/explora/detalle/252-AA-00006
216-AA-00002,1,Surandina,Cali,2019-10,VALLE DEL CAUCA,CALI,2002,2004,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,
215-AA-00001,1,Centroandina,Ibagué,2019-07,TOLIMA,IBAGUÉ,1999,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/215-AA-00001
252-AA-00007,1,Magdalena Medio,Barrancabermeja,2019-09,SANTANDER,BARRANCABERMEJA,2019,2019,Otros,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,,
237-AA-00001,1,Caribe e Insular,Valledupar,2019-11,CESAR,VALLEDUPAR,2019,2019,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/237-AA-00001
237-AA-00002,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,SAN JUAN DEL CESAR,2019,2019,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/237-AA-00002
237-AA-00003,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,SAN JUAN DEL CESAR,2019,2019,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
237-AA-00004,1,Caribe e Insular,Valledupar,2019-08,CESAR,VALLEDUPAR,2000,2006,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/237-AA-00004
154-AA-00001,1,Equipo Nacional / Sede Central,Macroterritorial Equipo Nacional / Sede Central,2019-10,ANTIOQUIA,APARTADÓ,1993,2016,Comerciantes,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,
228-AA-00001,1,Centroandina,Ibagué,2019-10,TOLIMA,PLANADAS,1988,1988,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/228-AA-00001
173-AA-00003,1,Orinoquia,Florencia,2019-10,CAQUETÁ,FLORENCIA,2009,2016,Ex combatientes ,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,,
457-AA-00001,1,Orinoquia,Villavicencio,2019-06,META,VISTAHERMOSA,1993,2015,Campesinos,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/457-AA-00001
112-AA-00001,1,Surandina,Cali,2019-10,VALLE DEL CAUCA,CALI,1990,1990,Campesinos,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,
126-AA-00001,1,Internacional,Europa,2019-05,[Internacional],ESPAÑA,1974,1999,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
326-AA-00001,1,Pacífico,Buenaventura,2019-11,VALLE DEL CAUCA,BUENAVENTURA,2006,2010,Actores armados,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
216-AA-00003,1,Surandina,Cali,2019-11,VALLE DEL CAUCA,CALI,1974,1991,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,
193-AA-00001,1,Centroandina,Macroterritorial Centroandina,2019-11,CUNDINAMARCA,PACHO,1987,1991,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,
235-AA-00001,1,Magdalena Medio,Barrancabermeja,2019-11,SANTANDER,BARRANCABERMEJA,1980,2018,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/235-AA-00001
088-AA-00004,1,Caribe e Insular,Valledupar,2019-11,LA GUAJIRA,RIOHACHA,1965,2018,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/088-AA-00004
267-AA-00002,1,Orinoquia,San José del Guaviare,2019-11,GUAVIARE,SAN JOSÉ DEL GUAVIARE,1986,2010,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
150-AA-00001,1,Orinoquia,Florencia,2019-05,CAQUETÁ,LA MONTAÑITA,1989,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/150-AA-00001
347-AA-00001,1,Bogotá,Bogotá,2019-12,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1984,1997,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
216-AA-00004,1,Surandina,Cali,2019-12,VALLE DEL CAUCA,CALI,1986,1990,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/216-AA-00004
565-AA-00001,1,Internacional,Europa,2019-11,[Internacional],ESPAÑA,1983,1999,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,
