001-PR-00679.txt: ([('NEG', 0.5070552585219643), ('NEU', 0.4826250211043917), ('POS', 0.010319720373643957)])
001-VI-00046.txt: ([('NEG', 0.4837297860002865), ('NEU', 0.4640186646662381), ('POS', 0.05225154933347539)])
001-VI-00051.txt: ([('NEG', 0.5691443976009216), ('NEU', 0.41920578677136905), ('POS', 0.011649815627709361)])
001-VI-00057.txt: ([('NEG', 0.36999700238549726), ('NEU', 0.5910741961305398), ('POS', 0.038928801483962924)])
001-VI-00060.txt: ([('NEG', 0.5224450210187874), ('NEU', 0.44597893409443995), ('POS', 0.03157604488677268)])
001-VI-00062.txt: ([('NEG', 0.43779500222077394), ('NEU', 0.5091676891501778), ('POS', 0.05303730862904823)])
001-VI-00070.txt: ([('NEG', 0.5917744359015331), ('NEU', 0.37921037914599587), ('POS', 0.029015184952470977)])
031-VI-00001.txt: ([('NEG', 0.6239296929450973), ('NEU', 0.3760703070549028), ('POS', 0.0)])
031-VI-00014.txt: ([('NEG', 0.6241473154689468), ('NEU', 0.30327881168439674), ('POS', 0.07257387284665645)])
031-VI-00018.txt: ([('NEG', 0.49663044672081186), ('NEU', 0.4689271775909627), ('POS', 0.03444237568822544)])
031-VI-00022.txt: ([('NEG', 0.3974864147349445), ('NEU', 0.5127795050756027), ('POS', 0.08973408018945285)])
031-VI-00025.txt: ([('NEG', 0.4275620143505334), ('NEU', 0.5598310250096131), ('POS', 0.012606960639853455)])
031-VI-00027.txt: ([('NEG', 0.4355979962558981), ('NEU', 0.5383833922512242), ('POS', 0.026018611492877597)])
032-VI-00012.txt: ([('NEG', 0.5917598324650951), ('NEU', 0.4082401675349049), ('POS', 0.0)])
032-VI-00024.txt: ([('NEG', 0.3641042207609355), ('NEU', 0.6358957792390645), ('POS', 0.0)])
032-VI-00027.txt: ([('NEG', 0.5776735806368011), ('NEU', 0.42232641936319887), ('POS', 0.0)])
032-VI-00029.txt: ([('NEG', 0.4234166481904921), ('NEU', 0.46662297562380267), ('POS', 0.10996037618570526)])
033-VI-00001.txt: ([('NEG', 0.5293718634263822), ('NEU', 0.45224857597902585), ('POS', 0.018379560594591893)])
033-VI-00006.txt: ([('NEG', 0.48214928209464913), ('NEU', 0.49380730622230373), ('POS', 0.024043411683047126)])
033-VI-00008.txt: ([('NEG', 0.3707082141936039), ('NEU', 0.5841809445710217), ('POS', 0.04511084123537448)])
033-VI-00019.txt: ([('NEG', 0.790343797004286), ('NEU', 0.19387534679571417), ('POS', 0.015780856199999804)])
033-VI-00021.txt: ([('NEG', 0.5254524141567644), ('NEU', 0.44353213185405427), ('POS', 0.03101545398918132)])
033-VI-00027.txt: ([('NEG', 0.7970387608386608), ('NEU', 0.18677300313017187), ('POS', 0.01618823603116733)])
033-VI-00034.txt: ([('NEG', 0.5233743338971633), ('NEU', 0.43444877431968487), ('POS', 0.04217689178315192)])
033-VI-00048.txt: ([('NEG', 0.5894571786234369), ('NEU', 0.41054282137656306), ('POS', 0.0)])
036-VI-00003.txt: ([('NEG', 0.5709815047930092), ('NEU', 0.39810288663080157), ('POS', 0.03091560857618914)])
036-VI-00006.txt: ([('NEG', 0.3766091613301635), ('NEU', 0.6233908386698365), ('POS', 0.0)])
036-VI-00012.txt: ([('NEG', 0.4227820380635112), ('NEU', 0.5389132978270287), ('POS', 0.03830466410946016)])
036-VI-00019.txt: ([('NEG', 0.35036602282221163), ('NEU', 0.6154751141925873), ('POS', 0.03415886298520108)])
036-VI-00027.txt: ([('NEG', 0.6675248867170644), ('NEU', 0.3037652799835313), ('POS', 0.028709833299404287)])
036-VI-00033.txt: ([('NEG', 0.42510790619329825), ('NEU', 0.5455750003823376), ('POS', 0.029317093424364123)])
036-VI-00034.txt: ([('NEG', 0.5373202760994843), ('NEU', 0.4357795405243779), ('POS', 0.0269001833761378)])
036-VI-00055.txt: ([('NEG', 0.3995465280240121), ('NEU', 0.5634882404139749), ('POS', 0.036965231562013)])
037-VI-00026.txt: ([('NEG', 0.4813600315369867), ('NEU', 0.5186399684630133), ('POS', 0.0)])
038-VI-00002.txt: ([('NEG', 0.7738382835871578), ('NEU', 0.22616171641284222), ('POS', 0.0)])
038-VI-00046.txt: ([('NEG', 0.7461342283098923), ('NEU', 0.2289060869859934), ('POS', 0.024959684704114363)])
038-VI-00121.txt: ([('NEG', 0.5912283259268369), ('NEU', 0.38885608397173504), ('POS', 0.01991559010142804)])
039-VI-00001.txt: ([('NEG', 0.39220018250409455), ('NEU', 0.6077998174959054), ('POS', 0.0)])
039-VI-00004.txt: ([('NEG', 0.8729168651392899), ('NEU', 0.12708313486071007), ('POS', 0.0)])
039-VI-00006.txt: ([('NEG', 0.6965477455898317), ('NEU', 0.2706477757738472), ('POS', 0.03280447863632117)])
039-VI-00011.txt: ([('NEG', 0.5799485544344066), ('NEU', 0.3841576250360718), ('POS', 0.035893820529521565)])
039-VI-00114.txt: ([('NEG', 0.3492428751798444), ('NEU', 0.5988421385715746), ('POS', 0.05191498624858088)])
040-VI-00004.txt: ([('NEG', 0.5495256958364938), ('NEU', 0.4311873609996767), ('POS', 0.01928694316382946)])
040-VI-00005.txt: ([('NEG', 0.6116345422626109), ('NEU', 0.31962872724554925), ('POS', 0.0687367304918398)])
040-VI-00009.txt: ([('NEG', 0.5366520616635299), ('NEU', 0.46334793833647014), ('POS', 0.0)])
040-VI-00011.txt: ([('NEG', 0.5117556284141584), ('NEU', 0.4622076275571312), ('POS', 0.026036744028710417)])
040-VI-00013.txt: ([('NEG', 0.5645724215696363), ('NEU', 0.4354275784303638), ('POS', 0.0)])
040-VI-00015.txt: ([('NEG', 0.4502233524546017), ('NEU', 0.5497766475453983), ('POS', 0.0)])
040-VI-00019.txt: ([('NEG', 0.45184315928680235), ('NEU', 0.5481568407131976), ('POS', 0.0)])
040-VI-00020.txt: ([('NEG', 0.5374903126107308), ('NEU', 0.4625096873892692), ('POS', 0.0)])
040-VI-00047.txt: ([('NEG', 0.499539878774004), ('NEU', 0.5004601212259959), ('POS', 0.0)])
041-VI-00024.txt: ([('NEG', 0.40458111945344094), ('NEU', 0.5286784445877573), ('POS', 0.06674043595880186)])
042-VI-00001.txt: ([('NEG', 0.574808632674416), ('NEU', 0.3610881570488249), ('POS', 0.06410321027675912)])
042-VI-00002.txt: ([('NEG', 0.8091301789310564), ('NEU', 0.19086982106894354), ('POS', 0.0)])
042-VI-00003.txt: ([('NEG', 0.4642645763429077), ('NEU', 0.5357354236570923), ('POS', 0.0)])
043-VI-00001.txt: ([('NEG', 0.48879665391573146), ('NEU', 0.4245548694620632), ('POS', 0.08664847662220529)])
043-VI-00004.txt: ([('NEG', 0.6739490037734478), ('NEU', 0.28362164055381517), ('POS', 0.04242935567273705)])
043-VI-00008.txt: ([('NEG', 0.5372459373654328), ('NEU', 0.32946833830852), ('POS', 0.1332857243260472)])
043-VI-00031.txt: ([('NEG', 0.41661659296074705), ('NEU', 0.5339281751730457), ('POS', 0.04945523186620722)])
044-VI-00013.txt: ([('NEG', 0.5818746850248896), ('NEU', 0.41041989776960686), ('POS', 0.0077054172055035204)])
045-VI-00001.txt: ([('NEG', 0.5471743004343489), ('NEU', 0.38799766124482876), ('POS', 0.06482803832082236)])
045-VI-00027.txt: ([('NEG', 0.5502426715432689), ('NEU', 0.40681121113514856), ('POS', 0.04294611732158253)])
045-VI-00076.txt: ([('NEG', 0.5207267851212436), ('NEU', 0.4433329344739237), ('POS', 0.035940280404832665)])
045-VI-00093.txt: ([('NEG', 0.5366856503005207), ('NEU', 0.4182277512957983), ('POS', 0.04508659840368094)])
045-VI-00095.txt: ([('NEG', 0.5114084229837935), ('NEU', 0.38612544372943974), ('POS', 0.10246613328676671)])
045-VI-00128.txt: ([('NEG', 0.47719200160347547), ('NEU', 0.4487234967763437), ('POS', 0.07408450162018082)])
045-VI-00130.txt: ([('NEG', 0.5537450778190791), ('NEU', 0.32134133061249465), ('POS', 0.12491359156842628)])
045-VI-00144.txt: ([('NEG', 0.5701262518440734), ('NEU', 0.3920743318533489), ('POS', 0.037799416302577736)])
045-VI-00151.txt: ([('NEG', 0.35776706998052393), ('NEU', 0.6422329300194761), ('POS', 0.0)])
045-VI-00159.txt: ([('NEG', 0.6402727201674945), ('NEU', 0.3242545794541777), ('POS', 0.03547270037832786)])
045-VI-00164.txt: ([('NEG', 0.5545867882881751), ('NEU', 0.3882582374898454), ('POS', 0.05715497422197952)])
045-VI-00165.txt: ([('NEG', 0.47544569771612366), ('NEU', 0.5132593216970707), ('POS', 0.011294980586805727)])
046-AA-00122.txt: ([('NEG', 0.5422357116704096), ('NEU', 0.4310244813805522), ('POS', 0.026739806949038162)])
046-VI-00013.txt: ([('NEG', 0.3654398767535226), ('NEU', 0.6345601232464774), ('POS', 0.0)])
046-VI-00029.txt: ([('NEG', 0.7603942777912193), ('NEU', 0.2247885165974443), ('POS', 0.014817205611336414)])
046-VI-00036.txt: ([('NEG', 0.5598648032373056), ('NEU', 0.4401351967626944), ('POS', 0.0)])
046-VI-00043.txt: ([('NEG', 0.5423440066129378), ('NEU', 0.43955485374941033), ('POS', 0.018101139637651927)])
046-VI-00058.txt: ([('NEG', 0.7699155266416784), ('NEU', 0.18990721422047763), ('POS', 0.040177259137844035)])
046-VI-00065.txt: ([('NEG', 0.6785180132564235), ('NEU', 0.30040058672850317), ('POS', 0.021081400015073377)])
046-VI-00109.txt: ([('NEG', 0.5700081321148387), ('NEU', 0.42999186788516125), ('POS', 0.0)])
046-VI-00111.txt: ([('NEG', 0.6090480913201962), ('NEU', 0.3479429163875047), ('POS', 0.043008992292299104)])
046-VI-00136.txt: ([('NEG', 0.38433353615577703), ('NEU', 0.5862266592595035), ('POS', 0.029439804584719495)])
046-VI-00148.txt: ([('NEG', 0.6580807336879354), ('NEU', 0.3062044625866475), ('POS', 0.03571480372541706)])
046-VI-00158.txt: ([('NEG', 0.6048614274662242), ('NEU', 0.31839627613797356), ('POS', 0.07674229639580234)])
046-VI-00162.txt: ([('NEG', 0.5677066745326766), ('NEU', 0.35484202556820293), ('POS', 0.07745129989912038)])
046-VI-00187.txt: ([('NEG', 0.5994433399872523), ('NEU', 0.37217531747857413), ('POS', 0.028381342534173536)])
047-VI-00007.txt: ([('NEG', 0.6676989923773826), ('NEU', 0.3099736499845527), ('POS', 0.022327357638064742)])
047-VI-00019.txt: ([('NEG', 0.7408339888814155), ('NEU', 0.25916601111858456), ('POS', 0.0)])
047-VI-00034.txt: ([('NEG', 0.6069760731601371), ('NEU', 0.39302392683986287), ('POS', 0.0)])
047-VI-00042.txt: ([('NEG', 0.5514186177279752), ('NEU', 0.4485813822720249), ('POS', 0.0)])
047-VI-00053.txt: ([('NEG', 0.6068109298064928), ('NEU', 0.3804677665078254), ('POS', 0.012721303685681876)])
047-VI-00066.txt: ([('NEG', 0.38244618226337473), ('NEU', 0.5995724450167094), ('POS', 0.017981372719915904)])
047-VI-00095.txt: ([('NEG', 0.6237897009136144), ('NEU', 0.37031674528232394), ('POS', 0.00589355380406159)])
047-VI-00097.txt: ([('NEG', 0.25683711767213685), ('NEU', 0.7431628823278631), ('POS', 0.0)])
047-VI-00098.txt: ([('NEG', 0.672924393528554), ('NEU', 0.30798626691203745), ('POS', 0.019089339559408555)])
047-VI-00099.txt: ([('NEG', 0.569620179585976), ('NEU', 0.40786119952994976), ('POS', 0.022518620884074306)])
048-VI-00035.txt: ([('NEG', 0.49342800472681114), ('NEU', 0.4794254243328438), ('POS', 0.027146570940345054)])
048-VI-00061.txt: ([('NEG', 0.3922080648514727), ('NEU', 0.6077919351485273), ('POS', 0.0)])
050-VI-00001.txt: ([('NEG', 0.48973878912381946), ('NEU', 0.4515323934366447), ('POS', 0.05872881743953583)])
054-PR-00624.txt: ([('NEG', 0.47767064952360905), ('NEU', 0.46182414981425773), ('POS', 0.06050520066213322)])
055-HV-00145.txt: ([('NEG', 0.38731731680344517), ('NEU', 0.5815303513787262), ('POS', 0.03115233181782866)])
056-AA-00001.txt: ([('NEG', 0.6285027581069745), ('NEU', 0.3599353870635246), ('POS', 0.011561854829500878)])
056-AA-00002.txt: ([('NEG', 0.49397707747427594), ('NEU', 0.4736443904994458), ('POS', 0.03237853202627824)])
056-AA-00004.txt: ([('NEG', 0.39015378689301516), ('NEU', 0.5683997691835856), ('POS', 0.04144644392339929)])
056-CO-00013.txt: ([('NEG', 0.561789629073656), ('NEU', 0.42010780176076706), ('POS', 0.018102569165576836)])
056-CO-00019.txt: ([('NEG', 0.49872392964357853), ('NEU', 0.4880733157379761), ('POS', 0.013202754618445346)])
056-CO-00117.txt: ([('NEG', 0.4059322107373487), ('NEU', 0.5274397943780551), ('POS', 0.06662799488459617)])
056-PR-00853.txt: ([('NEG', 0.43661759779577014), ('NEU', 0.5132758459566144), ('POS', 0.05010655624761551)])
056-VI-00003.txt: ([('NEG', 0.46899914535251414), ('NEU', 0.502949917506138), ('POS', 0.02805093714134781)])
056-VI-00005.txt: ([('NEG', 0.38394390005579276), ('NEU', 0.591646110014554), ('POS', 0.02440998992965323)])
056-VI-00006.txt: ([('NEG', 0.48098708241761995), ('NEU', 0.5054392288900836), ('POS', 0.013573688692296361)])
056-VI-00009.txt: ([('NEG', 0.6963800731717396), ('NEU', 0.29007639726806084), ('POS', 0.013543529560199651)])
056-VI-00010.txt: ([('NEG', 0.53234723081588), ('NEU', 0.41479999448005983), ('POS', 0.05285277470406025)])
056-VI-00014.txt: ([('NEG', 0.5047067505852852), ('NEU', 0.477360192150832), ('POS', 0.017933057263882772)])
056-VI-00019.txt: ([('NEG', 0.4456435810881823), ('NEU', 0.5109044697969285), ('POS', 0.04345194911488922)])
056-VI-00020.txt: ([('NEG', 0.3100822299355555), ('NEU', 0.6737197313110439), ('POS', 0.01619803875340064)])
056-VI-00023.txt: ([('NEG', 0.4199424691773796), ('NEU', 0.5681586026423309), ('POS', 0.011898928180289512)])
056-VI-00025.txt: ([('NEG', 0.6665152123569656), ('NEU', 0.3030764888034581), ('POS', 0.030408298839576218)])
056-VI-00042.txt: ([('NEG', 0.5649046793238625), ('NEU', 0.3602762254013823), ('POS', 0.07481909527475523)])
056-VI-00043.txt: ([('NEG', 0.7316234070285514), ('NEU', 0.24981105888139565), ('POS', 0.0185655340900529)])
056-VI-00044.txt: ([('NEG', 0.5563362571111199), ('NEU', 0.41447257787487446), ('POS', 0.029191165014005628)])
056-VI-00045.txt: ([('NEG', 0.5094441703534659), ('NEU', 0.38696925305075297), ('POS', 0.1035865765957811)])
056-VI-00046.txt: ([('NEG', 0.565646798329286), ('NEU', 0.3825193601376628), ('POS', 0.051833841533051185)])
056-VI-00050.txt: ([('NEG', 0.46926438436453716), ('NEU', 0.4699370263211742), ('POS', 0.060798589314288685)])
056-VI-00058.txt: ([('NEG', 0.42806649108133393), ('NEU', 0.5517715732863946), ('POS', 0.020161935632271446)])
056-VI-00063.txt: ([('NEG', 0.41941460253937796), ('NEU', 0.574763149426984), ('POS', 0.005822248033638024)])
056-VI-00068.txt: ([('NEG', 0.4426408733352672), ('NEU', 0.5425965178479156), ('POS', 0.01476260881681712)])
057-CO-00024.txt: ([('NEG', 0.2783606844895345), ('NEU', 0.640756738334758), ('POS', 0.08088257717570752)])
057-VI-00003.txt: ([('NEG', 0.5234257439058181), ('NEU', 0.443307339958391), ('POS', 0.03326691613579096)])
057-VI-00006.txt: ([('NEG', 0.544495148002482), ('NEU', 0.4411999607849143), ('POS', 0.014304891212603756)])
057-VI-00007.txt: ([('NEG', 0.4862973471385572), ('NEU', 0.5023859807092248), ('POS', 0.011316672152218005)])
057-VI-00008.txt: ([('NEG', 0.5640550770263972), ('NEU', 0.4282547675157007), ('POS', 0.007690155457902097)])
057-VI-00009.txt: ([('NEG', 0.4729337144197904), ('NEU', 0.4951835040101215), ('POS', 0.031882781570088094)])
057-VI-00013.txt: ([('NEG', 0.558193599313991), ('NEU', 0.42736042439317007), ('POS', 0.01444597629283887)])
057-VI-00017.txt: ([('NEG', 0.4877412972699141), ('NEU', 0.5122587027300859), ('POS', 0.0)])
057-VI-00025.txt: ([('NEG', 0.40451779695864315), ('NEU', 0.5901141074833839), ('POS', 0.005368095557972918)])
057-VI-00026.txt: ([('NEG', 0.6726496883927775), ('NEU', 0.32735031160722244), ('POS', 0.0)])
057-VI-00027.txt: ([('NEG', 0.5651127137882372), ('NEU', 0.4154225757149394), ('POS', 0.01946471049682333)])
058-CO-00022.txt: ([('NEG', 0.4886375088445329), ('NEU', 0.479679106268915), ('POS', 0.03168338488655206)])
058-CO-00128.txt: ([('NEG', 0.7366544680408733), ('NEU', 0.23129725951114938), ('POS', 0.0320482724479773)])
058-CO-00368.txt: ([('NEG', 0.5773443833826759), ('NEU', 0.39791996973316207), ('POS', 0.024735646884162025)])
058-PR-00362.txt: ([('NEG', 0.41902802577567116), ('NEU', 0.5436778299094032), ('POS', 0.03729414431492564)])
058-PR-00378.txt: ([('NEG', 0.6860081033912493), ('NEU', 0.2886768523673689), ('POS', 0.025315044241381812)])
058-PR-00471.txt: ([('NEG', 0.6920907178520891), ('NEU', 0.2943546310676103), ('POS', 0.013554651080300576)])
058-PR-00477.txt: ([('NEG', 0.3930411175859699), ('NEU', 0.5744822488265727), ('POS', 0.03247663358745735)])
058-PR-00530.txt: ([('NEG', 0.41260925367895623), ('NEU', 0.4875979326193995), ('POS', 0.09979281370164426)])
058-PR-00617.txt: ([('NEG', 0.6039731074173412), ('NEU', 0.32008346174798746), ('POS', 0.0759434308346713)])
058-PR-00618.txt: ([('NEG', 0.67523163812995), ('NEU', 0.3247683618700499), ('POS', 0.0)])
058-PR-00619.txt: ([('NEG', 0.4431658497999624), ('NEU', 0.5382828099343587), ('POS', 0.018551340265678864)])
058-PR-00635.txt: ([('NEG', 0.47760195256477117), ('NEU', 0.4730704511056643), ('POS', 0.049327596329564495)])
058-PR-00770.txt: ([('NEG', 0.5321396510738801), ('NEU', 0.43366968833838404), ('POS', 0.034190660587735934)])
058-PR-00836.txt: ([('NEG', 0.4817151920667062), ('NEU', 0.5182848079332938), ('POS', 0.0)])
058-PR-00856.txt: ([('NEG', 0.38668225686458957), ('NEU', 0.5899338023306104), ('POS', 0.023383940804799976)])
058-PR-02156.txt: ([('NEG', 0.31429486346338414), ('NEU', 0.4882358546255372), ('POS', 0.19746928191107865)])
058-PR-02960.txt: ([('NEG', 0.304395842230713), ('NEU', 0.6386730039569728), ('POS', 0.056931153812314235)])
058-PR-03046.txt: ([('NEG', 0.6348196208468747), ('NEU', 0.338814889228797), ('POS', 0.02636548992432828)])
058-VI-00002.txt: ([('NEG', 0.5380844544626656), ('NEU', 0.44980478416907227), ('POS', 0.012110761368262073)])
058-VI-00006.txt: ([('NEG', 0.3282423430533722), ('NEU', 0.6189125285902122), ('POS', 0.05284512835641566)])
058-VI-00013.txt: ([('NEG', 0.5219344425143256), ('NEU', 0.38265375943169355), ('POS', 0.09541179805398083)])
058-VI-00019.txt: ([('NEG', 0.48372696800635573), ('NEU', 0.5049987338347757), ('POS', 0.01127429815886856)])
058-VI-00021.txt: ([('NEG', 0.5711968782888435), ('NEU', 0.37837913648867155), ('POS', 0.050423985222484924)])
058-VI-00023.txt: ([('NEG', 0.6405753945922074), ('NEU', 0.3374416536083924), ('POS', 0.02198295179940028)])
058-VI-00024.txt: ([('NEG', 0.6230471639367194), ('NEU', 0.3307177043107316), ('POS', 0.046235131752548966)])
058-VI-00025.txt: ([('NEG', 0.4308705425515462), ('NEU', 0.5092706552773987), ('POS', 0.05985880217105511)])
058-VI-00036.txt: ([('NEG', 0.46186674045011245), ('NEU', 0.49401778515827743), ('POS', 0.04411547439161009)])
058-VI-00076.txt: ([('NEG', 0.5105919131064252), ('NEU', 0.47943880522395044), ('POS', 0.009969281669624366)])
058-VI-00084.txt: ([('NEG', 0.3588603936383084), ('NEU', 0.5745192471039775), ('POS', 0.06662035925771408)])
058-VI-00087.txt: ([('NEG', 0.41901314592639805), ('NEU', 0.5125403425311552), ('POS', 0.0684465115424467)])
058-VI-00088.txt: ([('NEG', 0.3138962843554394), ('NEU', 0.663282503572374), ('POS', 0.02282121207218669)])
058-VI-00091.txt: ([('NEG', 0.3891579534219977), ('NEU', 0.5228195767977207), ('POS', 0.08802246978028155)])
059-PR-00004.txt: ([('NEG', 0.5850900880546789), ('NEU', 0.3821662264476772), ('POS', 0.03274368549764385)])
059-VI-00001.txt: ([('NEG', 0.41892121488258366), ('NEU', 0.5513571603753759), ('POS', 0.02972162474204049)])
059-VI-00004.txt: ([('NEG', 0.3827185392297854), ('NEU', 0.6040216100104515), ('POS', 0.0132598507597631)])
059-VI-00008.txt: ([('NEG', 0.4808936069884855), ('NEU', 0.5191063930115145), ('POS', 0.0)])
059-VI-00009.txt: ([('NEG', 0.49209843970167), ('NEU', 0.4942720130809993), ('POS', 0.013629547217330782)])
059-VI-00012.txt: ([('NEG', 0.42080776159391536), ('NEU', 0.5227266045042331), ('POS', 0.05646563390185148)])
059-VI-00014.txt: ([('NEG', 0.5459162573082141), ('NEU', 0.4340268350624074), ('POS', 0.020056907629378395)])
060-AA-00002.txt: ([('NEG', 0.27056195356281626), ('NEU', 0.70627209232935), ('POS', 0.023165954107833793)])
060-PR-00777.txt: ([('NEG', 0.5878740279504546), ('NEU', 0.3881275975110504), ('POS', 0.023998374538494908)])
060-PR-00977.txt: ([('NEG', 0.4581845220935615), ('NEU', 0.4900852499955436), ('POS', 0.05173022791089492)])
060-PR-00995.txt: ([('NEG', 0.5705998500111433), ('NEU', 0.40797904015866787), ('POS', 0.021421109830188877)])
060-PR-02071.txt: ([('NEG', 0.47449278844220266), ('NEU', 0.4504073570512601), ('POS', 0.07509985450653721)])
060-PR-02122.txt: ([('NEG', 0.6839728187534168), ('NEU', 0.310452822407497), ('POS', 0.005574358839086236)])
060-VI-00003.txt: ([('NEG', 0.4937270933593486), ('NEU', 0.46893077152527657), ('POS', 0.03734213511537484)])
060-VI-00005.txt: ([('NEG', 0.502056526944918), ('NEU', 0.4869765346310992), ('POS', 0.010966938423982763)])
060-VI-00009.txt: ([('NEG', 0.4727400064980967), ('NEU', 0.5186693105086553), ('POS', 0.008590682993248023)])
060-VI-00010.txt: ([('NEG', 0.4414127609682975), ('NEU', 0.5307183561763379), ('POS', 0.02786888285536462)])
060-VI-00011.txt: ([('NEG', 0.4522329109217569), ('NEU', 0.5477670890782431), ('POS', 0.0)])
061-CO-00220.txt: ([('NEG', 0.3859422386113023), ('NEU', 0.552316411754497), ('POS', 0.06174134963420078)])
061-VI-00005.txt: ([('NEG', 0.5044167794012644), ('NEU', 0.4835037980057939), ('POS', 0.01207942259294177)])
061-VI-00007.txt: ([('NEG', 0.6267996706359947), ('NEU', 0.36046224587600506), ('POS', 0.012738083488000231)])
061-VI-00014.txt: ([('NEG', 0.6732995194791465), ('NEU', 0.3094149532916049), ('POS', 0.01728552722924867)])
062-PR-00139.txt: ([('NEG', 0.6597608605194228), ('NEU', 0.31804156218818885), ('POS', 0.022197577292388308)])
062-VI-00006.txt: ([('NEG', 0.48325557759724036), ('NEU', 0.4649257311091812), ('POS', 0.051818691293578446)])
062-VI-00008.txt: ([('NEG', 0.4678515502744651), ('NEU', 0.4789762772483167), ('POS', 0.05317217247721818)])
062-VI-00011.txt: ([('NEG', 0.5314634713219595), ('NEU', 0.4606551557093199), ('POS', 0.007881372968720565)])
062-VI-00012.txt: ([('NEG', 0.5775995468077993), ('NEU', 0.36886753429156444), ('POS', 0.0535329189006362)])
062-VI-00017.txt: ([('NEG', 0.684888319533178), ('NEU', 0.29201227011314024), ('POS', 0.023099410353681835)])
062-VI-00018.txt: ([('NEG', 0.6337426469761002), ('NEU', 0.3588377863007183), ('POS', 0.00741956672318153)])
062-VI-00020.txt: ([('NEG', 0.6990762069434099), ('NEU', 0.3009237930565901), ('POS', 0.0)])
064-VI-00001.txt: ([('NEG', 0.5074677770602036), ('NEU', 0.4839372399873627), ('POS', 0.0085949829524336)])
065-VI-00001.txt: ([('NEG', 0.5597505862575886), ('NEU', 0.3458501083386418), ('POS', 0.09439930540376966)])
065-VI-00004.txt: ([('NEG', 0.4872694363284761), ('NEU', 0.48179956771922466), ('POS', 0.03093099595229927)])
065-VI-00007.txt: ([('NEG', 0.5312444750545221), ('NEU', 0.3954301084023468), ('POS', 0.07332541654313111)])
068-AA-00001.txt: ([('NEG', 0.5179274901661616), ('NEU', 0.45434886053433504), ('POS', 0.02772364929950338)])
